Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
67;14715;Technology Analysis and Strategic Management;journal;14653990, 09537325;0,801;Q2;84;305;451;14715;2064;448;3,97;48,25;40,61;4;183;United Kingdom;Western Europe;Routledge;1989-2023;"Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
68;19294;Journal of Scheduling;journal;10946136;0,793;Q2;67;49;130;1447;306;125;1,99;29,53;18,4;0;2;United States;Northern America;Springer New York;1998-2023;"Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Management Science and Operations Research (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering"
69;21100235632;Asian Journal of Shipping and Logistics;journal;20925212;0,775;Q2;35;21;86;920;370;86;3,98;43,81;37,5;0;10;Netherlands;Western Europe;Korean Association of Shipping and Logistics, Inc.;2009-2023;"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
70;17600155106;Flexible Services and Manufacturing Journal;journal;19366590, 19366582;0,766;Q2;53;78;103;3893;333;98;3,35;49,91;21,76;0;20;United States;Northern America;Springer New York;2006, 2008-2023;"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q2)";"Decision Sciences; Engineering"
71;19124;Queueing Systems;journal;15729443, 02570130;0,762;Q2;58;36;227;1082;187;110;0,65;30,06;23,29;0;1;Netherlands;Western Europe;Springer Netherlands;1986-2023;"Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Computer Science; Decision Sciences; Mathematics"
72;88345;Journal of Global Optimization;journal;09255001, 15732916;0,743;Q2;96;149;374;5860;765;367;2,02;39,33;24,53;0;2;Netherlands;Western Europe;Springer Netherlands;1991-2023;"Applied Mathematics (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computer Science Applications (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
73;21101126970;Logistics;journal;23056290;0,74;Q2;23;100;207;6593;1066;205;4,97;65,93;31,94;0;55;Switzerland;Western Europe;Multidisciplinary Digital Publishing Institute (MDPI);2019-2023;"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
74;23148;IMA Journal of Management Mathematics;journal;1471678X, 14716798;0,73;Q2;40;16;76;866;184;74;1,91;54,13;27,5;0;3;United Kingdom;Western Europe;Oxford University Press;1986, 1988-1989, 1991-1993, 1995-2023;"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Mathematics"
75;4700152908;Knowledge Management Research and Practice;journal;14778238, 14778246;0,728;Q2;52;104;170;7582;823;164;5;72,9;40,07;3;27;United Kingdom;Western Europe;Taylor and Francis Ltd.;2006-2023;"Library and Information Sciences (Q1); Business and International Management (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
76;19600161828;Public Transport;journal;16137159, 1866749X;0,722;Q2;36;34;83;1770;259;81;3;52,06;17,2;0;25;Germany;Western Europe;Springer Verlag;2009-2023;"Mechanical Engineering (Q1); Information Systems (Q2); Management Science and Operations Research (Q2); Transportation (Q2)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
77;27989;Optimization;journal;10294945, 02331934;0,699;Q2;59;250;442;8632;880;428;1,98;34,53;27,6;0;7;United Kingdom;Western Europe;Taylor and Francis Ltd.;1985-2023;"Applied Mathematics (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q2)";"Decision Sciences; Mathematics"
78;19123;Quality and Reliability Engineering International;journal;07488017, 10991638;0,69;Q2;72;209;599;8231;1684;587;2,64;39,38;31,41;0;22;United Kingdom;Western Europe;John Wiley and Sons Ltd;1985-2023;"Management Science and Operations Research (Q2); Safety, Risk, Reliability and Quality (Q2)";"Decision Sciences; Engineering"
79;13559;Journal of Loss Prevention in the Process Industries;journal;9504230;0,689;Q2;102;224;764;9418;3201;756;4,01;42,04;31,16;0;31;Netherlands;Western Europe;Elsevier B.V.;1988-2023;"Food Science (Q1); Chemical Engineering (miscellaneous) (Q2); Control and Systems Engineering (Q2); Energy Engineering and Power Technology (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Safety, Risk, Reliability and Quality (Q2)";"Agricultural and Biological Sciences; Chemical Engineering; Decision Sciences; Energy; Engineering"
80;21100198497;Quality Technology and Quantitative Management;journal;16843703;0,676;Q2;27;66;112;2650;361;112;3,36;40,15;29,52;0;4;United Kingdom;Western Europe;Taylor and Francis Ltd.;2011-2023;"Business and International Management (Q2); Industrial Relations (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences"
81;5600155030;New Directions for Evaluation;journal;10976736;0,674;Q2;48;28;128;910;182;117;0,77;32,5;66,18;0;7;United States;Northern America;Wiley-Blackwell;1995-2023;"Education (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
82;145295;4OR;journal;16142411, 16194500;0,661;Q2;46;52;76;1670;173;71;2;32,12;21,5;1;3;Germany;Western Europe;;2003-2023;"Computational Theory and Mathematics (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q2); Theoretical Computer Science (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
83;14500154733;Operational Research;journal;11092858, 18661505;0,654;Q2;34;65;392;3387;1188;389;3,07;52,11;26,09;0;18;Germany;Western Europe;Springer Verlag;2009-2023;"Computational Theory and Mathematics (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Numerical Analysis (Q2); Statistics, Probability and Uncertainty (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
84;22315;Personal and Ubiquitous Computing;journal;16174909, 16174917;0,654;Q2;97;164;246;6673;766;231;2,71;40,69;32,92;2;46;United Kingdom;Western Europe;Springer London;1997-2023;"Library and Information Sciences (Q1); Computer Science Applications (Q2); Hardware and Architecture (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Social Sciences"
85;24358;Journal of Heuristics;journal;13811231, 15729397;0,65;Q2;73;21;93;848;243;91;1,78;40,38;17,14;0;2;Netherlands;Western Europe;Springer Netherlands;1995-2023;"Computer Networks and Communications (Q2); Control and Optimization (Q2); Information Systems (Q2); Management Science and Operations Research (Q2); Software (Q2); Artificial Intelligence (Q3)";"Computer Science; Decision Sciences; Mathematics"
86;21100386518;Advances in Production Engineering And Management;journal;18556531, 18546250;0,633;Q2;29;36;108;1219;388;108;3,46;33,86;34,69;0;19;Slovenia;Eastern Europe;Production Engineering Institute (PEI), University of Maribor;2014-2023;"Industrial and Manufacturing Engineering (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Mechanical Engineering (Q2); Nuclear and High Energy Physics (Q2)";"Business, Management and Accounting; Decision Sciences; Engineering; Physics and Astronomy"
87;11700154400;TOP;journal;11345764, 18638279;0,631;Q2;31;32;103;1161;192;91;1,9;36,28;27,66;0;2;Germany;Western Europe;;1993-1996, 2003, 2007-2023;"Discrete Mathematics and Combinatorics (Q2); Information Systems and Management (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Statistics and Probability (Q2)";"Decision Sciences; Mathematics"
88;29114;Engineering Optimization;journal;0305215X, 10290273;0,621;Q2;76;183;367;6661;1204;367;3,04;36,4;25,34;0;37;United Kingdom;Western Europe;Taylor and Francis Ltd.;1974-2023;"Applied Mathematics (Q2); Computer Science Applications (Q2); Control and Optimization (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
89;10900153307;Journal of Simulation;journal;17477778, 17477786;0,621;Q2;31;79;100;4197;281;97;1,89;53,13;30,47;0;25;United Kingdom;Western Europe;Taylor and Francis Ltd.;2008-2023;"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Software (Q2)";"Computer Science; Decision Sciences; Engineering; Mathematics"
90;21100438074;Journal of Modelling in Management;journal;17465672, 17465664;0,619;Q2;40;81;187;5437;695;184;3,55;67,12;27,23;0;31;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2006-2023;"Decision Sciences (miscellaneous) (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
91;21101151498;Futures and Foresight Science;journal;25735152;0,608;Q2;13;21;96;1159;142;33;1,58;55,19;10;2;7;United States;Northern America;John Wiley and Sons Inc.;2019-2023;"Business, Management and Accounting (miscellaneous) (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
92;21101046170;Journal of Statistics and Data Science Education;journal;26939169;0,606;Q2;37;45;108;1704;254;95;2,39;37,87;53,33;0;6;United Kingdom;Western Europe;Taylor and Francis Ltd.;2021-2023;"Education (Q2); Management Science and Operations Research (Q2); Statistics and Probability (Q2)";"Decision Sciences; Mathematics; Social Sciences"
93;16106;Foresight;journal;14659832, 14636689;0,601;Q2;40;58;133;4232;489;132;3,4;72,97;43,62;0;26;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;1999-2023;"Economics, Econometrics and Finance (miscellaneous) (Q1); Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
94;21100830431;Service Science;journal;21643970, 21643962;0,599;Q2;24;19;47;900;97;45;2;47,37;34,81;0;4;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;2015-2023;"Business and International Management (Q2); Management Science and Operations Research (Q2); Marketing (Q2); Modeling and Simulation (Q2)";"Business, Management and Accounting; Decision Sciences; Mathematics"
95;21101063736;IFAC Journal of Systems and Control;journal;24686018;0,582;Q2;13;20;71;791;156;71;2,31;39,55;18;0;5;United Kingdom;Western Europe;Elsevier B.V.;2017-2023;"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Management Science and Operations Research (Q2); Modeling and Simulation (Q2); Artificial Intelligence (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
96;19929;Interfaces;journal;00922102, 1526551X;0,581;Q2;69;0;98;0;153;95;1,29;0;0;0;0;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1983-1988, 1996-2022;"Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
97;21100855822;Cogent Business and Management;journal;23311975;0,567;Q2;44;614;889;48184;3874;882;3,94;78,48;35,77;0;279;United Kingdom;Western Europe;Cogent OA;2014-2023;"Accounting (Q2); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Management Science and Operations Research (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
98;21101024237;Journal of Operational Meteorology;journal;23256184;0,567;Q2;7;10;22;365;36;22;0,91;36,5;19,23;0;4;United States;Northern America;National Weather Association;2019-2023;"Computers in Earth Sciences (Q2); Management Science and Operations Research (Q2); Atmospheric Science (Q3)";"Decision Sciences; Earth and Planetary Sciences"
99;21774;Managerial and Decision Economics;journal;10991468, 01436570;0,555;Q2;61;314;554;17484;1574;552;2,95;55,68;38,76;2;138;United Kingdom;Western Europe;John Wiley and Sons Ltd;1980-2023;"Business and International Management (Q2); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
100;21100301413;Journal of the Operations Research Society of China;journal;21946698, 2194668X;0,554;Q3;20;114;151;3387;266;145;1,22;29,71;32,18;0;4;United States;Northern America;Springer Science + Business Media;2013-2023;"Applied Mathematics (Q2); Mathematics (miscellaneous) (Q2); Management Science and Operations Research (Q3)";"Decision Sciences; Mathematics"
101;21805;Mathematical Methods of Operations Research;journal;14325217, 14322994;0,535;Q3;54;39;120;1158;141;116;1,03;29,69;23,33;0;1;Germany;Western Europe;Physica-Verlag;1996-2023;"Mathematics (miscellaneous) (Q2); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Mathematics"
102;21100374809;Journal of Science and Technology Policy Management;journal;20534639, 20534620;0,529;Q3;28;117;118;9607;455;107;3,78;82,11;31,39;0;72;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2014-2023;"Industrial Relations (Q2); Management of Technology and Innovation (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
103;21100886537;Operations and Supply Chain Management;journal;19793561, 25799363;0,518;Q3;18;42;119;2602;404;119;3,29;61,95;31,73;0;22;Indonesia;Asiatic Region;Operations and Supply Chain Management Forum;2018-2023;"Information Systems and Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences"
104;21100395701;Journal of Complex Networks;journal;20511310, 20511329;0,511;Q3;30;46;185;1846;418;185;2,29;40,13;23,77;1;3;United States;Northern America;Oxford University Press;2013-2023;"Applied Mathematics (Q2); Computational Mathematics (Q2); Computer Networks and Communications (Q2); Control and Optimization (Q2); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Mathematics"
105;21101123946;Open Journal of Mathematical Optimization;journal;27775860;0,499;Q3;3;7;20;207;33;20;1,72;29,57;20;0;0;France;Western Europe;Universite de Montpellier III;2020-2023;"Control and Optimization (Q2); Management Science and Operations Research (Q3)";"Decision Sciences; Mathematics"
106;21100935763;Health Systems;journal;20476973, 20476965;0,496;Q3;20;41;64;2786;137;63;1,43;67,95;34,75;2;13;United States;Northern America;Taylor and Francis Inc.;2012-2023;"Information Systems (Q2); Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3); Health Policy (Q3); Human-Computer Interaction (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Health Professions; Medicine"
107;21100242231;Built Environment Project and Asset Management;journal;2044124X, 20441258;0,493;Q3;33;58;159;3261;473;152;2,57;56,22;22,84;0;35;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2011-2023;"Architecture (Q1); Building and Construction (Q2); Civil and Structural Engineering (Q2); Engineering (miscellaneous) (Q2); Urban Studies (Q2); Management Science and Operations Research (Q3)";"Decision Sciences; Engineering; Social Sciences"
108;5000158106;Central European Journal of Operations Research;journal;16139178, 1435246X;0,493;Q3;42;86;194;3467;440;189;2,09;40,31;28,25;0;20;Germany;Western Europe;Springer Science and Business Media Deutschland GmbH;2006-2023;Management Science and Operations Research (Q3);Decision Sciences
109;21100886533;Journal of Information Technology Case and Application Research;journal;15228053, 23336897;0,485;Q3;20;26;60;1033;140;38;1,3;39,73;26,67;0;5;United States;Northern America;Taylor and Francis Ltd.;2005-2023;"Information Systems and Management (Q2); Management Science and Operations Research (Q3)";Decision Sciences
110;21100200822;Pakistan Journal of Statistics and Operation Research;journal;22205810, 18162711;0,473;Q3;25;40;208;1173;361;208;1,6;29,33;24,66;0;1;Pakistan;Asiatic Region;College of Statistical and Actuarial Sciences, University of Punjab;2011-2023;"Modeling and Simulation (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
111;21100202150;Operations Research for Health Care;journal;22116923;0,469;Q3;37;14;42;616;91;40;1,8;44;31,25;0;6;United Kingdom;Western Europe;Elsevier B.V.;2014-2023;"Health Professions (miscellaneous) (Q2); Oral Surgery (Q2); Surgery (Q2); Management Science and Operations Research (Q3); Medicine (miscellaneous) (Q3); Otorhinolaryngology (Q3)";"Decision Sciences; Dentistry; Health Professions; Medicine"
112;25195;Applied Stochastic Models in Business and Industry;journal;15264025, 15241904;0,452;Q3;47;86;218;2680;325;192;1,59;31,16;31,72;0;8;United Kingdom;Western Europe;John Wiley and Sons Ltd;1999-2023;"Business, Management and Accounting (miscellaneous) (Q2); Modeling and Simulation (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Mathematics"
113;14054;SORT;journal;16962281, 20138830;0,452;Q3;25;12;20;804;43;20;0,91;67;41,86;0;1;Spain;Western Europe;Institut d'Estadistica de Catalunya;2003-2021, 2023;"Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
114;22202;Operations Research Letters;journal;1676377;0,449;Q3;82;123;412;2356;484;410;0,99;19,15;20,5;0;3;Netherlands;Western Europe;Elsevier B.V.;1981-2023;"Applied Mathematics (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
115;21100394100;IET Networks;journal;20474962, 20474954;0,439;Q3;31;27;113;1003;248;110;1,8;37,15;28,43;0;5;United Kingdom;Western Europe;John Wiley & Sons Inc.;2014-2023;"Computer Networks and Communications (Q3); Control and Optimization (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Mathematics"
116;12991;RAIRO - Operations Research;journal;12903868, 03990559;0,438;Q3;36;163;634;6230;1417;633;2,19;38,22;35,25;0;26;France;Western Europe;EDP Sciences;1977-1978, 1995-2023;"Computer Science Applications (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)";"Computer Science; Decision Sciences; Mathematics"
117;21100806906;Uncertain Supply Chain Management;journal;22916822, 22916830;0,436;Q3;33;190;344;9282;1712;343;5,15;48,85;30,27;0;80;Canada;Northern America;Growing Science;2013-2023;"Business and International Management (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences"
118;15810;Probability in the Engineering and Informational Sciences;journal;02699648, 14698951;0,434;Q3;41;44;155;1435;182;155;1,02;32,61;25;0;2;United Kingdom;Western Europe;Cambridge University Press;1987-2023;"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Engineering; Mathematics"
119;21101019334;Journal of Business Analytics;journal;2573234X, 25732358;0,42;Q3;9;18;36;1197;84;35;2,56;66,5;24,14;0;5;United Kingdom;Western Europe;Taylor and Francis Ltd.;2018-2023;"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
120;19900193531;Advances in Decision Sciences;journal;20903367, 20903359;0,417;Q3;20;30;75;1565;278;75;4,94;52,17;26,83;0;12;Taiwan;Asiatic Region;Asia University;2010-2023;"Information Systems and Management (Q2); Decision Sciences (miscellaneous) (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";Decision Sciences
121;21100840031;Critical Military Studies;journal;23337486, 23337494;0,416;Q3;21;50;89;2961;100;87;1,25;59,22;36,07;1;15;United Kingdom;Western Europe;Taylor and Francis Ltd.;2015-2023;"History (Q1); Law (Q1); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Management Science and Operations Research (Q3)";"Arts and Humanities; Decision Sciences; Social Sciences"
122;21100894767;INFORMS Transactions on Education;journal;15320545;0,408;Q3;7;24;50;352;62;47;1,09;14,67;21,05;0;4;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;2018-2023;"Education (Q2); Management Information Systems (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
123;19700181204;OPSEARCH;journal;00303887, 09750320;0,386;Q3;29;90;179;4188;394;179;2,13;46,53;22,22;0;24;India;Asiatic Region;Springer India;2009-2023;"Management Information Systems (Q2); Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
124;21101046369;Brazilian Journal of Operations and Production Management;journal;16798171, 22378960;0,377;Q3;12;33;114;1877;233;112;2,64;56,88;32,1;0;16;Brazil;Latin America;Associacao Brasileira de Engenharia de Producao;2019-2023;"Industrial and Manufacturing Engineering (Q2); Computer Science Applications (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
125;19400158510;Logistics Research;journal;18650368, 1865035X;0,368;Q3;28;12;26;1076;49;26;2,13;89,67;25,81;0;7;Germany;Western Europe;Bundesvereinigung Logistik (BVL);2009-2010, 2012-2023;"Management Information Systems (Q2); Computer Science Applications (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
126;19700187506;International Journal of Shipping and Transport Logistics;journal;17566517, 17566525;0,361;Q3;28;36;98;1728;143;95;1,52;48;26,26;0;12;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2010-2023;"Business and International Management (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
127;19700173246;Academia Revista Latinoamericana de Administracion;journal;10128255, 20565127;0,356;Q3;22;30;88;2234;148;87;1,83;74,47;41,28;0;17;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2008-2023;"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Education (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
128;24017;ZWF Zeitschrift fr Wirtschaftlichen Fabrikbetrieb;journal;09470085, 25110896;0,35;Q3;18;178;639;2508;325;597;0,51;14,09;16,19;0;79;Germany;Western Europe;Walter de Gruyter GmbH;1995-2023;"Engineering (miscellaneous) (Q2); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
129;23110;Asia-Pacific Journal of Operational Research;journal;02175959, 17937019;0,348;Q3;37;103;191;3317;281;187;1,34;32,2;39,3;0;9;Singapore;Asiatic Region;World Scientific Publishing Co. Pte Ltd;1991, 1996-2023;Management Science and Operations Research (Q3);Decision Sciences
130;14363;INFOR;journal;03155986, 19160615;0,348;Q3;37;23;63;1081;72;60;0,94;47;23,81;0;7;Canada;Northern America;Taylor and Francis Ltd.;1971-1989, 1996-2023;"Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Signal Processing (Q3)";"Computer Science; Decision Sciences"
131;21101023959;International Journal of Production Management and Engineering;journal;23404876, 23405317;0,347;Q3;6;16;43;725;75;43;1,9;45,31;32,61;0;10;Spain;Western Europe;Universidad Politecnica de Valencia;2019-2023;"Industrial and Manufacturing Engineering (Q2); Business and International Management (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
132;144815;Computational Management Science;journal;1619697X, 16196988;0,339;Q3;40;48;78;1967;115;75;1,5;40,98;22,5;0;13;Germany;Western Europe;Springer Science and Business Media Deutschland GmbH;2005-2023;"Business, Management and Accounting (miscellaneous) (Q3); Information Systems (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
133;21100913325;Logforum;journal;1734459X, 18952038;0,339;Q3;14;44;124;2121;253;124;1,6;48,2;37,72;0;27;Poland;Eastern Europe;Poznan School of Logistics;2019-2023;"Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
134;23492;Yugoslav Journal of Operations Research;journal;03540243, 23346043;0,339;Q3;24;38;96;1400;150;96;1,48;36,84;35,29;0;5;Serbia;Eastern Europe;Faculty of Organizational Sciences, Belgrade;1994-1997, 1999-2023;Management Science and Operations Research (Q3);Decision Sciences
