Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
135;4000149501;International Journal of Product Lifecycle Management;journal;17435110, 17435129;0,333;Q3;24;8;42;452;56;42;1;56,5;30;0;4;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2023;"Business and International Management (Q3); Management Science and Operations Research (Q3); Safety, Risk, Reliability and Quality (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
136;21100301410;International Journal for Quality Research;journal;18007473, 18006450;0,332;Q3;27;84;240;3015;444;240;1,85;35,89;51,57;0;36;Serbia;Eastern Europe;University of Montenegro;2012-2023;"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Safety, Risk, Reliability and Quality (Q3)";"Decision Sciences; Engineering"
137;17400154833;Journal of Transportation Security;journal;19387741, 1938775X;0,323;Q3;18;12;46;486;68;45;1,14;40,5;37,5;0;2;United States;Northern America;Springer New York;2008-2023;"Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Management Science and Operations Research (Q3); Safety Research (Q3); Transportation (Q3)";"Decision Sciences; Social Sciences"
138;21100385807;International Journal of Emergency Services;journal;20470908, 20470894;0,315;Q3;16;37;82;1459;140;79;2;39,43;51,92;0;9;United Kingdom;Western Europe;Emerald Group Publishing Ltd.;2012-2023;"Management Science and Operations Research (Q3); Safety Research (Q3)";"Decision Sciences; Social Sciences"
139;21100457058;Management and Production Engineering Review;journal;20821344, 20808208;0,307;Q3;24;48;139;1637;231;139;1,21;34,1;39,32;0;22;Poland;Eastern Europe;Polish Academy of Sciences, Production Engineering Committee;2012-2013, 2015-2023;"Business and International Management (Q3); Industrial and Manufacturing Engineering (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
140;21100826286;Fuzzy Information and Engineering;journal;16168658, 16168666;0,304;Q3;25;23;88;682;152;88;1,72;29,65;24,39;0;0;United Kingdom;Western Europe;Tsinghua University Press;2011, 2014-2023;"Applied Mathematics (Q3); Control and Systems Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Information Systems (Q3); Logic (Q3); Management Science and Operations Research (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
141;21101045277;LOGI - Scientific Journal on Transport and Logistics;journal;23363037;0,303;Q3;8;30;67;794;95;67;1,35;26,47;44,3;0;20;Poland;Eastern Europe;Sciendo;2019-2023;"Automotive Engineering (Q2); Business and International Management (Q3); Civil and Structural Engineering (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
142;19900191855;Advances in Operations Research;journal;16879155, 16879147;0,3;Q3;20;4;28;216;34;28;0,94;54;20;0;0;United States;Northern America;Hindawi Publishing Corporation;2009-2023;Management Science and Operations Research (Q3);Decision Sciences
143;5000153602;Pesquisa Operacional;journal;1017438;0,287;Q3;25;45;76;1679;82;73;0,93;37,31;29,7;0;9;Brazil;Latin America;Sociedade Brasileira de Pesquisa Operacional;2006-2023;Management Science and Operations Research (Q3);Decision Sciences
144;21100836589;International Journal of Business Environment;journal;17400589, 17400597;0,286;Q3;9;21;63;1825;88;63;1,2;86,9;32,26;0;10;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2017-2023;"Business and International Management (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences"
145;4400151406;International Journal of Operational Research;journal;17457653, 17457645;0,286;Q3;32;76;223;3587;211;222;0,43;47,2;19,88;0;12;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2023;Management Science and Operations Research (Q3);Decision Sciences
146;4700152236;International Journal of Globalisation and Small Business;journal;14793059, 14793067;0,284;Q3;22;10;49;935;52;48;0,83;93,5;9,09;0;2;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2023;"Business and International Management (Q3); Information Systems and Management (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences"
147;21100825851;International Journal of Business Performance and Supply Chain Modelling;journal;17589401, 1758941X;0,283;Q3;19;20;56;911;69;56;0,98;45,55;26,53;0;9;United Kingdom;Western Europe;Inderscience;2009-2023;"Business and International Management (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences"
148;21100943826;Journal of Transport and Supply Chain Management;journal;19955235, 23108789;0,278;Q3;9;23;80;1246;101;74;1,17;54,17;31,25;0;16;South Africa;Africa;AOSIS (Pty) Ltd;2018-2023;"Industrial and Manufacturing Engineering (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
149;21101055969;Sinergie;journal;3935108;0,272;Q4;8;32;94;2348;118;89;1,21;73,38;62,86;0;19;Italy;Western Europe;Fondazione Cueim;2019-2023;"Business, Management and Accounting (miscellaneous) (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
150;21100945715;Journal of International Logistics and Trade;journal;25087592, 17382122;0,27;Q4;8;13;42;649;62;42;1,27;49,92;23,08;0;9;South Korea;Asiatic Region;Jungseok Research Institute of International Logistics and Trade;2018-2023;"Economics and Econometrics (Q3); Management Information Systems (Q3); Marketing (Q3); Transportation (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
151;21100456788;International Journal on Food System Dynamics;journal;18696945;0,269;Q4;22;27;92;1360;94;92;1,07;50,37;49,37;0;13;Germany;Western Europe;CENTMA Research;2010-2023;"Business and International Management (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Food Science (Q3); Geography, Planning and Development (Q3); Transportation (Q3); Management Science and Operations Research (Q4)";"Agricultural and Biological Sciences; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
152;4700151504;International Journal of Logistics Systems and Management;journal;17427975, 17427967;0,268;Q4;37;67;223;4307;317;222;0,86;64,28;23,7;0;22;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2004-2023;"Information Systems and Management (Q3); Management Information Systems (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
153;21101050920;Business, Management and Economics Engineering;journal;2669249X, 26692481;0,267;Q4;8;17;62;956;121;62;1,64;56,24;63,64;0;10;Lithuania;Eastern Europe;Vilnius Gediminas Technical University;2021-2023;"Business and International Management (Q3); Development (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
154;21100894851;International Journal of Supply and Operations Management;journal;23831359, 23832525;0,254;Q4;11;28;83;1581;120;83;1,41;56,46;25,93;0;13;Iran;Middle East;Kharazmi University;2018-2023;"Civil and Structural Engineering (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Transportation (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
155;11900154344;Foundations and Trends in Technology, Information and Operations Management;journal;15719545;0,251;Q4;17;8;22;125;14;21;0,75;15,63;25;0;1;United States;Northern America;Now Publishers Inc;2005, 2007-2014, 2016-2023;Management Science and Operations Research (Q4);Decision Sciences
156;21100842159;International Review of Applied Sciences and Engineering;journal;20620810, 20634269;0,249;Q4;11;46;108;1701;153;107;1,29;36,98;23,33;0;23;Hungary;Eastern Europe;Akademiai Kiado;2017-2023;"Architecture (Q2); Engineering (miscellaneous) (Q3); Environmental Engineering (Q3); Information Systems (Q3); Materials Science (miscellaneous) (Q3); Management Science and Operations Research (Q4)";"Computer Science; Decision Sciences; Engineering; Environmental Science; Materials Science"
157;144884;WSEAS Transactions on Mathematics;journal;11092769;0,249;Q4;24;93;266;2226;186;266;0,7;23,94;37,21;0;4;Greece;Western Europe;World Scientific and Engineering Academy and Society;2005-2014, 2017-2023;"Algebra and Number Theory (Q4); Applied Mathematics (Q4); Computational Mathematics (Q4); Control and Optimization (Q4); Discrete Mathematics and Combinatorics (Q4); Endocrinology, Diabetes and Metabolism (Q4); Management Science and Operations Research (Q4); Statistics and Probability (Q4)";"Decision Sciences; Mathematics; Medicine"
158;4000149708;International Journal of Management and Enterprise Development;journal;17418127, 14684330;0,248;Q4;28;19;60;1148;75;59;1,1;60,42;30,77;0;9;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2004-2023;"Business and International Management (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
159;21100394268;International Journal of Advanced Operations Management;journal;1758938X, 17589398;0,244;Q4;15;14;52;667;68;51;1,29;47,64;35,29;0;5;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2011, 2014-2023;"Management Science and Operations Research (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Decision Sciences"
160;21101021770;International Journal of Management and Sustainability;journal;23069856, 23060662;0,244;Q4;8;45;48;2459;87;48;1,16;54,64;44,17;0;24;United States;Northern America;Conscientia Beam;2019-2023;"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
161;4700153009;International Journal of Sport Management and Marketing;journal;14758962, 17402808;0,243;Q4;30;26;62;1552;66;62;0,83;59,69;31,25;0;2;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2023;"Business and International Management (Q3); Marketing (Q3); Strategy and Management (Q3); Management Science and Operations Research (Q4); Sports Science (Q4)";"Business, Management and Accounting; Decision Sciences; Health Professions"
162;4000148902;International Journal of Services and Operations Management;journal;17442370, 17442389;0,222;Q4;34;77;239;5005;230;239;0,64;65;27,17;0;29;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2006-2023;"Industrial and Manufacturing Engineering (Q3); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering"
163;21100212700;RAE Revista de Administracao de Empresas;journal;2178938X, 00347590;0,218;Q4;23;28;145;1805;96;138;0,52;64,46;44,12;0;10;Brazil;Latin America;Fundacao Getulio Vargas, Escola de Administracao de Empresas de Sao Paulo;2007-2023;"Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Education (Q3); Industrial Relations (Q3); Information Systems and Management (Q3); Business and International Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Marketing (Q4); Organizational Behavior and Human Resource Management (Q4); Public Administration (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
164;17700156204;International Journal of Applied Decision Sciences;journal;17558085, 17558077;0,213;Q4;22;37;87;2355;108;87;1,3;63,65;32,08;0;11;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2009-2023;"Economics and Econometrics (Q4); Information Systems and Management (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
165;21100858348;Croatian Operational Research Review;journal;18480225, 18489931;0,208;Q4;10;16;56;478;52;56;0,64;29,88;45,95;0;3;Croatia;Eastern Europe;Croatian Operational Research Society;2017-2023;"Applied Mathematics (Q4); Economics and Econometrics (Q4); Management Science and Operations Research (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
166;21101089574;Revista de Administracao Contemporanea;journal;19827849, 14156555;0,204;Q4;8;49;150;2375;127;125;0,93;48,47;55,42;0;16;Brazil;Latin America;Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao;2019-2023;"Business, Management and Accounting (miscellaneous) (Q3); Management Science and Operations Research (Q4); Public Administration (Q4)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
167;21101021407;Operations Research and Decisions;journal;23916060, 20818858;0,202;Q4;5;36;85;1320;77;85;0,83;36,67;35,48;0;5;Poland;Eastern Europe;Wroclaw University of Science and Technology;2019-2023;"Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Business, Management and Accounting; Decision Sciences; Mathematics"
168;21101121177;Journal of Defense Analytics and Logistics;journal;23996439, 23996447;0,201;Q4;4;8;30;463;20;30;0,35;57,88;12,5;0;1;United Kingdom;Western Europe;Emerald Publishing;2017-2023;"Decision Sciences (miscellaneous) (Q4); Information Systems and Management (Q4); Management Science and Operations Research (Q4); Statistics, Probability and Uncertainty (Q4)";Decision Sciences
169;21100901841;International Journal of Industrial Engineering and Production Research;journal;20084889, 2345363X;0,199;Q4;9;36;145;1943;121;145;0,77;53,97;38,64;0;8;Iran;Middle East;Iran University of Science and Technology;2018-2023;"Industrial and Manufacturing Engineering (Q3); Management Science and Operations Research (Q4); Statistics, Probability and Uncertainty (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering"
170;21100285030;International Journal of Multicriteria Decision Making;journal;20401078, 2040106X;0,199;Q4;15;8;18;584;11;18;0,61;73;40;0;2;Switzerland;Western Europe;Inderscience;2010-2019, 2021-2022;"Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
171;21101073268;Journal of Industrial Engineering and Engineering Management;journal;10046062;0,198;Q4;8;122;372;5217;261;372;0,62;42,76;32,68;0;64;China;Asiatic Region;Zhejiang University;2019-2023;"Accounting (Q4); Business and International Management (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Organizational Behavior and Human Resource Management (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
172;4700152455;International Journal of Process Management and Benchmarking;journal;14606739, 1741816X;0,196;Q4;20;76;103;4274;158;103;1,26;56,24;22,56;0;41;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2009, 2013-2023;"Business and International Management (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
173;21100219935;International Journal of Operations and Quantitative Management;journal;10821910;0,191;Q4;14;22;69;1259;75;69;1,19;57,23;45,95;0;8;United States;Northern America;International Forum of Management Scholars (INFOMS);2000-2023;"Business and International Management (Q4); Information Systems and Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
174;6400153175;International Journal of Services Operations and Informatics;journal;1741539X, 17415403;0,183;Q4;15;5;43;200;38;42;0,88;40;22,22;0;1;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2006-2013, 2016-2023;"Computer Science Applications (Q4); Information Systems (Q4); Management Information Systems (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
175;21100244225;Competition and Regulation in Network Industries;journal;23992956, 17835917;0,182;Q4;13;11;48;486;32;45;0,71;44,18;9,52;1;5;United Kingdom;Western Europe;SAGE Publications Inc.;2013-2023;"Business, Management and Accounting (miscellaneous) (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
176;21100464314;International Journal of Construction Supply Chain Management;journal;11790776;0,174;Q4;7;15;41;696;47;41;1,15;46,4;35,48;0;6;New Zealand;Pacific Region;Massey University;2015-2023;"Building and Construction (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering"
177;21100327708;Journal of Intelligence Studies in Business;journal;2001015X;0,174;Q4;14;23;40;767;51;36;1,23;33,35;35,56;0;5;Sweden;Western Europe;Halmstad University;2011-2023;"Business, Management and Accounting (miscellaneous) (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
178;21101050917;Corporate Governance and Organizational Behavior Review;journal;25211889, 25211870;0,164;Q4;7;129;134;7021;165;125;1,27;54,43;38,23;0;58;Ukraine;Eastern Europe;Virtus Interpress;2019-2023;"Finance (Q4); Management Science and Operations Research (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
179;13024;Acta Cybernetica;journal;0324721X;0,161;Q4;18;13;70;399;39;67;0,6;30,69;9,52;0;0;Hungary;Eastern Europe;University of Szeged, Institute of Informatics;1990-2023;"Computational Theory and Mathematics (Q4); Computer Science (miscellaneous) (Q4); Computer Vision and Pattern Recognition (Q4); Electrical and Electronic Engineering (Q4); Information Systems and Management (Q4); Management Science and Operations Research (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
180;21101133222;Queueing Models and Service Management;journal;26162687, 26162679;0,16;Q4;5;0;18;0;8;18;0,3;0;0;0;0;Taiwan;Asiatic Region;Kaoyian Press;2018-2022;"Applied Mathematics (Q4); Management Science and Operations Research (Q4); Modeling and Simulation (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
181;21100927900;Journal of Food Distribution Research;journal;26433354;0,157;Q4;5;21;66;605;21;63;0,33;28,81;56,72;0;7;United States;Northern America;Food Distribution Research Society;2019-2023;"Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Food Science (Q4); Management Science and Operations Research (Q4); Marketing (Q4)";"Agricultural and Biological Sciences; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
182;21101090644;Corporate and Business Strategy Review;journal;27089924, 27084965;0,156;Q4;6;108;74;5380;89;63;1,36;49,81;33,19;0;47;Ukraine;Eastern Europe;Virtus Interpress;2020-2023;"Decision Sciences (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Earth and Planetary Sciences"
183;19400157401;International Journal of Enterprise Network Management;journal;17481252, 17481260;0,151;Q4;13;20;66;1145;35;65;0,69;57,25;33,33;0;7;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2007, 2009-2012, 2014-2023;"Business and International Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences"
184;22303;Journal of the Operations Research Society of Japan;journal;4534514;0,151;Q4;31;14;31;331;13;31;0,26;23,64;10,34;0;2;Japan;Asiatic Region;Operations Research Society of Japan;1996-2023;"Decision Sciences (miscellaneous) (Q4); Management Science and Operations Research (Q4)";Decision Sciences
185;21100266730;International Journal of Information Systems in the Service Sector;journal;19355688, 19355696;0,148;Q4;15;2;89;63;61;89;0,65;31,5;20;0;1;United States;Northern America;IGI Global Publishing;2009-2023;"Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
186;144786;Journal of Japan Industrial Management Association;journal;13422618, 21879079;0,143;Q4;10;21;69;457;21;68;0,34;21,76;19,67;0;5;Japan;Asiatic Region;Nihon Keikei Kogakkai;2004-2023;"Applied Mathematics (Q4); Industrial and Manufacturing Engineering (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering; Mathematics"
187;21100936539;Revue Europeenne d' Economie et Management des Services;journal;25550284, 24970107;0,131;Q4;4;5;37;247;11;37;0,29;49,4;0;0;4;France;Western Europe;Editions Classiques Garnier;2016-2022;"Management Information Systems (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
188;21101023676;International Conference on Quality Engineering and Management;conference and proceedings;21843481;0,129;-;4;0;110;0;32;106;0,2;0;0;0;0;Portugal;Western Europe;Universidade do Minho;2020, 2022;"Management of Technology and Innovation; Management Science and Operations Research; Safety, Risk, Reliability and Quality; Strategy and Management";"Business, Management and Accounting; Decision Sciences; Engineering"
189;4700152816;Logistics Journal;journal;18607977;0,129;Q4;7;3;80;51;25;79;0,28;17;37,5;0;0;Germany;Western Europe;Wissenschaftliche Gesellschaft fur Technische Logistik;2006, 2009-2023;"Control and Systems Engineering (Q4); Management Information Systems (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering"
190;21101154818;Neuro-Fuzzy Modeling Techniques in Economics;journal;24153516, 23063289;0,129;Q4;4;0;13;0;14;13;1,08;0;0;0;0;Ukraine;Eastern Europe;Vadym Hetman Kyiv National University of Economics;2019, 2021-2022;"Applied Mathematics (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Management Science and Operations Research (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
191;21101083423;Proceedings of the Hamburg International Conference of Logistics;conference and proceedings;23654430, 23655070;0,126;-;3;0;91;0;26;86;0,29;0;0;0;0;Germany;Western Europe;Institute of Business Logistics and General Management, Hamburg University of Technology;2021;"Business, Management and Accounting (miscellaneous); Management Science and Operations Research";"Business, Management and Accounting; Decision Sciences"
192;4700152810;International Journal of Business Process Integration and Management;journal;17418771, 17418763;0,123;Q4;20;0;40;0;13;40;0,12;0;0;0;0;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2005-2015, 2017-2022;"Business and International Management (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
193;21100904665;Contributions to Management Science;book series;2197716X, 14311941;0,119;Q4;22;348;1008;14370;644;2;0,51;41,29;0;0;150;Switzerland;Western Europe;Springer International Publishing;2005-2023;"Business and International Management (Q4); Management of Technology and Innovation (Q4); Management Science and Operations Research (Q4); Marketing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences"
194;21100313916;Boletin de Estadistica e Investigacion Operativa;journal;23871725;0,117;Q4;5;24;57;385;6;54;0,1;16,04;47,37;0;3;Spain;Western Europe;Sociedad de Estadistica e Investigacion Operativa;2014-2021;"Management Science and Operations Research (Q4); Statistics, Probability and Uncertainty (Q4)";Decision Sciences
195;17600155037;Journal of Quality;journal;10220690;0,11;Q4;10;22;73;721;10;67;0,16;32,77;45,1;0;7;Taiwan;Asiatic Region;Chinese Society for Quality;2009-2023;"Management Science and Operations Research (Q4); Safety, Risk, Reliability and Quality (Q4)";"Decision Sciences; Engineering"
196;145594;Military Operations Research;journal;2755823;0,109;Q4;15;0;7;0;2;6;0,29;0;0;0;0;United States;Northern America;Military Operations Research Society;2005-2019, 2021-2022;"Civil and Structural Engineering (Q4); Management Science and Operations Research (Q4); Mechanical Engineering (Q4)";"Decision Sciences; Engineering"
197;22473;Quality Progress;journal;0033524X;0,108;Q4;37;0;56;0;4;38;0;0;0;0;0;United States;Northern America;American Society for Quality;1974, 1978-2020;"Industrial and Manufacturing Engineering (Q4); Management Science and Operations Research (Q4); Safety, Risk, Reliability and Quality (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Decision Sciences; Engineering"
198;4700151732;International Journal of Risk Assessment and Management;journal;14668297, 17415241;0,105;Q4;27;5;45;249;12;44;0,14;49,8;0;0;0;United Kingdom;Western Europe;Inderscience Enterprises Ltd;2000-2003, 2005-2023;"Business and International Management (Q4); Management Science and Operations Research (Q4); Statistics, Probability and Uncertainty (Q4)";"Business, Management and Accounting; Decision Sciences"
199;21101043804;Operations Management Education Review;journal;16497082, 20444567;0,104;Q4;1;0;22;0;2;20;0,13;0;0;0;0;United Kingdom;Western Europe;NeilsonJournals Publishing;2019-2022;"Decision Sciences (miscellaneous) (Q4); Information Systems and Management (Q4); Management Science and Operations Research (Q4)";Decision Sciences
200;21100823806;Series on Concrete and Applicable Mathematics;book series;17931142;;-;1;1;2;36;2;0;1;36;0;0;0;Singapore;Asiatic Region;World Scientific;2017, 2022-2023;"Algebra and Number Theory; Applied Mathematics; Computational Mathematics; Discrete Mathematics and Combinatorics; Management Science and Operations Research; Mathematical Physics; Modeling and Simulation; Statistics and Probability";"Decision Sciences; Mathematics"
